hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 0.00000, 13417.8, 14009, 14097, 0, 22.5255, 23.518, 23.6659, 1.2774
0, 0.00000, 13500.3, 14106.1, 14193.3, 0, 26.4952, 27.684, 27.8556, 1.48924
0, 0.00000, 5124.53, 5361.13, 5106.46, 0, 200.208, 209.458, 199.518, 10.4687
0, 0.00000, 5164.64, 5402.42, 5146.98, 0, 199.573, 208.764, 198.889, 10.4145
0, 0.00000, 5205.38, 5444.34, 5188.08, 0, 198.94, 208.075, 198.277, 10.3896
0, 0.00000, 5246.74, 5486.89, 5229.81, 0, 198.295, 207.374, 197.653, 10.3641
0, 0.00000, 5288.71, 5530.06, 5272.18, 0, 197.638, 206.66, 197.018, 10.338
0, 0.00000, 5331.27, 5573.83, 5315.15, 0, 196.969, 205.933, 196.372, 10.3115
0, 0.00000, 5374.52, 5618.31, 5358.84, 0, 196.287, 205.192, 195.712, 10.2843
0, 0.00000, 5418.41, 5663.43, 5403.19, 0, 195.591, 204.438, 195.04, 10.2565
0, 0.00000, 5462.96, 5709.23, 5448.23, 0, 194.882, 203.67, 194.355, 10.2282
0, 0.00000, 5508.19, 5755.71, 5493.97, 0, 194.16, 202.887, 193.657, 10.1992
0, 0.00000, 5554.06, 5802.85, 5540.39, 0, 193.424, 202.09, 192.945, 10.1696
0, 0.00000, 5600.7, 5850.77, 5587.61, 0, 192.672, 201.277, 192.219, 10.1393
0, 0.00000, 5648.07, 5899.43, 5635.58, 0, 191.905, 200.448, 191.478, 10.1083
0, 0.00000, 5696.14, 5948.81, 5684.29, 0, 191.123, 199.603, 190.723, 10.0767
0, 0.00000, 5744.97, 5998.96, 5733.79, 0, 190.325, 198.742, 189.953, 10.0443
0, 0.00000, 5794.56, 6049.89, 5784.09, 0, 189.511, 197.863, 189.167, 10.0112
0, 0.00000, 5844.94, 6101.61, 5835.21, 0, 188.68, 196.968, 188.364, 9.97728
0, 0.00000, 5896.13, 6154.16, 5887.2, 0, 187.832, 196.054, 187.545, 9.94258
0, 0.00000, 5948.16, 6207.56, 5940.05, 0, 186.966, 195.121, 186.709, 9.90704
0, 0.00000, 6000.97, 6261.77, 5993.74, 0, 186.082, 194.171, 185.855, 9.87069
0, 0.00000, 6054.65, 6316.85, 6048.34, 0, 185.179, 193.2, 184.984, 9.83345
0, 0.00000, 6109.08, 6372.7, 6103.73, 0, 184.259, 192.212, 184.095, 9.79538
0, 0.00000, 6164.8, 6429.86, 6160.47, 0, 183.312, 191.195, 183.181, 9.75613
0, 0.00000, 6235.74, 8314.11, 6075.51, 0, 182.824, 162.694, 178.045, 24.6887
0, 0.00000, 6291.23, 8374.05, 6132.52, 0, 181.729, 161.945, 177.151, 25.2193
0, 0.00000, 6347.79, 8434.12, 6190.55, 0, 180.676, 160.716, 176.206, 25.2786
0, 0.00000, 6405.32, 8494.92, 6249.7, 0, 179.597, 159.463, 175.24, 25.3354
0, 0.00000, 6463.68, 8556.22, 6309.93, 0, 178.491, 158.184, 174.253, 25.3896
0, 0.00000, 8282.85, 8361.11, 6372.46, 0, 150.769, 152.204, 173.298, 29.7541
0, 0.00000, 8342.54, 8422.25, 6433.1, 0, 149.494, 150.918, 172.183, 29.7177
0, 0.00000, 8173.09, 8480.56, 8240.22, 0, 144.183, 149.602, 145.148, 8.10617
0, 0.00000, 8232.06, 8540.02, 8302.79, 0, 142.845, 148.188, 144.07, 8.10293
0, 0.00000, 8291.86, 8601.1, 8365.96, 0, 141.522, 146.799, 142.784, 8.04467
0, 0.00000, 8352.12, 8662.66, 8429.71, 0, 140.18, 145.391, 141.48, 7.9859
0, 0.00000, 8413.06, 8724.92, 8494.26, 0, 138.814, 143.958, 140.151, 7.92572
0, 0.00000, 8474.58, 8787.79, 8559.5, 0, 137.425, 142.504, 138.8, 7.86419
0, 0.00000, 8536.85, 8851.44, 8625.63, 0, 136.01, 141.022, 137.423, 7.80109
0, 0.00000, 8599.77, 8915.76, 8692.54, 0, 134.571, 139.515, 136.021, 7.73651
0, 0.00000, 8663.47, 8980.9, 8760.38, 0, 133.104, 137.98, 134.59, 7.67024
0, 0.00000, 8727.59, 9046.47, 8828.75, 0, 131.616, 136.425, 133.14, 7.60265
0, 0.00000, 8792.74, 9113.13, 8898.33, 0, 130.094, 134.834, 131.654, 7.53301
0, 0.00000, 8858.3, 9180.22, 8968.45, 0, 128.551, 133.222, 130.147, 7.46198
0, 0.00000, 8924.61, 9248.09, 9039.48, 0, 126.979, 131.58, 128.611, 7.38912
0, 0.00000, 8991.52, 9316.6, 9111.27, 0, 125.38, 129.913, 127.048, 7.31456
0, 0.00000, 9059.32, 9386.04, 9184.13, 0, 123.748, 128.21, 125.451, 7.23793
0, 0.00000, 9127.62, 9456.02, 9257.64, 0, 122.091, 126.483, 123.828, 7.1596
0, 0.00000, 9196.67, 9526.8, 9332.09, 0, 120.403, 124.724, 122.174, 7.07924
0, 0.00000, 9266.29, 9598.18, 9407.28, 0, 118.686, 122.937, 120.491, 6.99701
0, 0.00000, 9336.67, 9670.38, 9483.44, 0, 116.937, 121.116, 118.774, 6.91261
0, 0.00000, 9407.8, 9743.38, 9560.54, 0, 115.154, 119.261, 117.022, 6.826
0, 0.00000, 9479.63, 9817.13, 9638.54, 0, 113.339, 117.373, 115.237, 6.73717
0, 0.00000, 9551.93, 9891.4, 9717.2, 0, 111.495, 115.457, 113.423, 6.64634
